County,Total Positive Cases
Alameda,1
Alpine,0
Amador,0
Butte,31
Calaveras,0
Colusa,3
Contra Costa,8
Del Norte,0
El Dorado,2
Fresno,11
Glenn,12
Humboldt,0
Imperial,1
Inyo,0
Kern,49
Kings,1
Lake,2
Lassen,0
Los Angeles,12
Madera,0
Marin,1
Mariposa,0
Mendocino,0
Merced,4
Modoc,2
Mono,1
Monterey,0
Napa,1
Nevada,1
Orange,6
Placer,8
Plumas,0
Riverside,4
Sacramento,15
San Benito,0
San Bernardino,3
San Diego,1
San Francisco,0
San Joaquin,8
San Luis Obispo,1
San Mateo,0
Santa Barbara,0
Santa Clara,5
Santa Cruz,0
Shasta,4
Sierra,0
Sisikyou,0
Solano,6
Sonoma,0
Stanislaus,11
Sutter,12
Tehama,3
Trinity,0
Tulare,8
Tuolumne,0
Ventura,3
Yolo,26
Yuba,5
